258 lignes;;Supports TNS;CODE GROUPE CODIPRESSE;CODE MEDIA CODIPRESSE;Supports CodiPresse;CATEGORY;PERIODICITY
80;1747;FIGARO MAGAZINE;101;205;LE FIGARO MAGAZINE;MAGAZINES;HEBDOMADAIRE
81;13497;FIGARO SUP FIGAROPLUS;101;483;FIGAROPLUS;QUOTIDIENS NAT.;QUOTIDIENNE
82;13110;FIGARO SUP LITTERAIRE;101;486;LE FIGARO LITTERAIRE;QUOTIDIENS NAT.;QUOTIDIENNE
83;2264;FIGARO SUP NEW YORK TIMES;101;669;LE FIGARO NEW YORK TIMES;QUOTIDIENS NAT.;QUOTIDIENNE
84;7451;FRANCE DIMANCHE;101;114;FRANCE DIMANCHE;MAGAZINES;HEBDOMADAIRE
85;6492;GALA;101;117;GALA;MAGAZINES;HEBDOMADAIRE
86;14069;GAULT MILLAU;101;680;GAULT MILLAU;MAGAZINES;BIMESTRIEL
87;1762;GEO;101;119;GEO;MAGAZINES;MENSUEL
88;4770;GEO ADO;101;120;GEO ADO;MAGAZINES;MENSUEL
89;9610;GLAMOUR;101;124;GLAMOUR;MAGAZINES;MENSUEL
90;6914;GOLF EUROPEEN;101;125;GOLF EUROPEEN;MAGAZINES;MENSUEL
91;6459;GOLF MAGAZINE;101;127;GOLF MAGAZINE;MAGAZINES;MENSUEL
92;8390;GOURMAND;101;460;GOURMAND;MAGAZINES;BIMENSUEL
93;8906;GQ ;101;553;GQ;MAGAZINES;MENSUEL
94;8578;GRAND GIBIER;101;130;GRAND GIBIER;MAGAZINES;TRIMESTRIEL
95;1740;GRANDS REPORTAGES;101;787;GRANDS REPORTAGES;MAGAZINES;MENSUEL
96;12661;GRAZIA;101;624;GRAZIA;MAGAZINES;HEBDOMADAIRE
97;13237;HUMANITE ;101;272;L'HUMANITE;QUOTIDIENS NAT.;QUOTIDIENNE
98;8318;HUMANITE DIMANCHE;101;273;L'HUMANITE DIMANCHE;MAGAZINES;HEBDOMADAIRE
99;1951;ICI PARIS MAGAZINE;101;147;ICI PARIS;MAGAZINES;HEBDOMADAIRE
100;9326;IDEAT;101;148;IDEAT;MAGAZINES;MENSUEL
101;13810;IMAGES DOC;101;151;IMAGES DOC;MAGAZINES;MENSUEL
102;6798;INDUSTRIES ET TECHNOLOGIE;101;511;INDUSTRIE & TECHNOLOGIES;PRESSE PROF. SPECIALIS;MENSUEL
103;7519;INFOBEBES/INFOCRECHE;101;29;INFOBEBES + INFOCRECHE;MAGAZINES;MENSUEL
104;7230;INROCKUPTIBLES HEBDO;101;708;LES INROCKUPTIBLES;MAGAZINES;HEBDOMADAIRE
105;9891;IT FOR BUSINESS;101;595;01 BUSINESS;PRESSE PROF. SPECIALIS;MENSUEL
106;1312;J AIME LIRE;101;157;J'AIME LIRE;MAGAZINES;MENSUEL
107;7827;JALOUSE;101;158;JALOUSE;MAGAZINES;MENSUEL
108;1131;JOGGING INTERNATIONAL;101;163;JOGGING INTERNATIONAL;MAGAZINES;MENSUEL
109;15849;JOURNAL DU DIMANCHE;101;214;LE JOURNAL DU DIMANCHE;QUOTIDIENS NAT.;QUOTIDIENNE
110;1344;JOURNAL MAISON;101;210;LE JOURNAL DE LA MAISON;MAGAZINES;MENSUEL
111;1420;JOURNAL MICKEY;101;700;LE JOURNAL DE MICKEY;MAGAZINES;HEBDOMADAIRE
112;2715;L OFFICIEL VOYAGE;101;495;L'OFFICIEL VOYAGE;MAGAZINES;BIMESTRIEL
113;4182;LE PARTICULIER;101;230;LE PARTICULIER;MAGAZINES;MENSUEL
114;7576;LIBERATION;101;274;LIBERATION;QUOTIDIENS NAT.;QUOTIDIENNE
115;8544;LIBERATION SUP MAG NEXT;101;589;LIBERATION NEXT;SUPPLEM. QUOT. NAT.;QUOTIDIENNE
116;1903;LIRE;101;276;LIRE;MAGAZINES;MENSUEL
117;20429;LUI;101;895;LUI;MAGAZINES;MENSUEL
118;6342;MADAME FIGARO;101;286;MADAME FIGARO;MAGAZINES;HEBDOMADAIRE
119;7954;MAGAZINE DE L OPTIMUM;101;283;L'OPTIMUM (LE MAGAZINE DE L'OPTIMUM);MAGAZINES;MENSUEL
120;1630;MAISON & TRAVAUX;101;288;MAISON & TRAVAUX;MAGAZINES;BIMESTRIEL
121;9260;MAISON CREATIVE;101;298;MAISON CREATIVE;MAGAZINES;BIMESTRIEL
122;20849;MAISON FRANCAISE MAGAZINE;101;894;MAISON FRANCAISE MAGAZINE;MAGAZINES;8 PAR AN
123;5764;MAISONS COTE EST;101;289;MAISONS COTE EST;MAGAZINES;TRIMESTRIEL
124;1455;MAISONS COTE OUEST;101;292;MAISONS COTE OUEST;MAGAZINES;BIMESTRIEL
125;6384;MAISONS COTE SUD;101;295;MAISONS COTE SUD;MAGAZINES;BIMESTRIEL
126;7224;MANAGEMENT;101;305;MANAGEMENT;MAGAZINES;MENSUEL
