B59295M|    102.00|    102.00|    102.00|    102.00|    167.00|    167.00|    167.00|    167.00|    140.00|    140.00|    140.00|    140.00|    140.00|    140.00|    140.00|    140.00|    140.00|    153.00|    153.00|    153.00|    153.00|    153.00|    153.00|    153.00|    153.00|    153.00|     89.00|     89.00|     89.00|     89.00|     64.00|     64.00|     64.00|     64.00|     76.00|     76.00|     76.00|     76.00|     76.00|    140.00|    140.00|    140.00|    140.00|    140.00|    140.00|    140.00|    140.00|    166.00|    166.00|    166.00|    166.00|    166.00|    166.00|
B63113M|    170.00|    170.00|    170.00|    170.00|    278.00|    278.00|    278.00|    278.00|    233.00|    233.00|    233.00|    233.00|    233.00|    233.00|    233.00|    233.00|    233.00|    255.00|    255.00|    255.00|    255.00|    255.00|    255.00|    255.00|    255.00|    255.00|    148.00|    148.00|    148.00|    148.00|    106.00|    106.00|    106.00|    106.00|    127.00|    127.00|    127.00|    127.00|    127.00|    233.00|    233.00|    233.00|    233.00|    233.00|    233.00|    233.00|    233.00|    276.00|    276.00|    276.00|    276.00|    276.00|    276.00|
B70279M|     37.00|     37.00|     37.00|     37.00|     62.00|     62.00|     62.00|     62.00|     52.00|     52.00|     52.00|     52.00|     52.00|     52.00|     52.00|     52.00|     52.00|     56.00|     56.00|     56.00|     56.00|     56.00|     56.00|     56.00|     56.00|     56.00|     33.00|     33.00|     33.00|     33.00|     23.00|     23.00|     23.00|     23.00|     28.00|     28.00|     28.00|     28.00|     28.00|     52.00|     52.00|     52.00|     52.00|     52.00|     52.00|     52.00|     52.00|     61.00|     61.00|     61.00|     61.00|     61.00|     61.00|
B70311M|     87.00|     87.00|     87.00|     87.00|    143.00|    143.00|    143.00|    143.00|    120.00|    120.00|    120.00|    120.00|    120.00|    120.00|    120.00|    120.00|    120.00|    131.00|    131.00|    131.00|    131.00|    131.00|    131.00|    131.00|    131.00|    131.00|     76.00|     76.00|     76.00|     76.00|     54.00|     54.00|     54.00|     54.00|     65.00|     65.00|     65.00|     65.00|     65.00|    120.00|    120.00|    120.00|    120.00|    120.00|    120.00|    120.00|    120.00|    141.00|    141.00|    141.00|    141.00|    141.00|    141.00|
B85047M|     86.00|     86.00|     86.00|     86.00|    142.00|    142.00|    142.00|    142.00|    119.00|    119.00|    119.00|    119.00|    119.00|    119.00|    119.00|    119.00|    119.00|    130.00|    130.00|    130.00|    130.00|    130.00|    130.00|    130.00|    130.00|    130.00|     75.00|     75.00|     75.00|     75.00|     54.00|     54.00|     54.00|     54.00|     65.00|     65.00|     65.00|     65.00|     65.00|    119.00|    119.00|    119.00|    119.00|    119.00|    119.00|    119.00|    119.00|    141.00|    141.00|    141.00|    141.00|    141.00|    141.00|
B2A247M|     59.00|     59.00|     59.00|     59.00|     97.00|     97.00|     97.00|     97.00|     82.00|     82.00|     82.00|     82.00|     82.00|     82.00|     82.00|     82.00|     82.00|     89.00|     89.00|     89.00|     89.00|     89.00|     89.00|     89.00|     89.00|     89.00|     52.00|     52.00|     52.00|     52.00|     37.00|     37.00|     37.00|     37.00|     44.00|     44.00|     44.00|     44.00|     44.00|     82.00|     82.00|     82.00|     82.00|     82.00|     82.00|     82.00|     82.00|     97.00|     97.00|     97.00|     97.00|     97.00|     97.00|
B04070A|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|
B44184A|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|
B57672A|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|
B2A004A|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|
