 Station 1 
QH  Jour 1       Jour 2       Jour 3       Jour 4       Jour 5       Jour 6       Jour 7
82  0.466483011  0.362632951  0.503067347  0.374930230  0.565474393  0.582074210  0.412057332 
83  0.387384470  0.278327759  0.405230916  0.359310366  0.523811862  0.572574699  0.314596060 
84  0.265826184  0.226295126  0.338369121  0.347553478  0.402338831  0.544701460  0.284524041 
85  0.207070867  0.196624308  0.285557576  0.338982362  0.310061775  0.400100371  0.289203410 
86  0.153275497  0.179332242  0.218483654  0.243708608  0.273144863  0.314914118  0.248890800 
87  0.110363433  0.165437018  0.165664454  0.190401015  0.232046742  0.281106522  0.186177045 
88  0.080089845  0.121478133  0.128334463  0.170099934  0.197121235  0.234988714  0.168681738 
89  0.077779854  0.121967318  0.081757736  0.126928585  0.162473227  0.200333050  0.096597104 
90  0.078065711  0.104526649  0.059433577  0.067722884  0.127908362  0.167145557  0.088771203 
91  0.064508429  0.069246659  0.057625265  0.077770352  0.112521741  0.155217983  0.081590657 
92  0.047966417  0.050675937  0.047813238  0.057140391  0.097483883  0.124324116  0.086489015 
93  0.044368973  0.037143907  0.034190322  0.045549351  0.080749276  0.123259347  0.064496112 
94  0.037238401  0.033163386  0.023332883  0.034438433  0.071793675  0.092304947  0.045450634 
95  0.042345367  0.026267992  0.025672348  0.046620015  0.059224969  0.070787327  0.033347622 
96  0.041232031  0.021580880  0.028111497  0.038390448  0.059606375  0.060696043  0.023221321 
