 Station 24 
QH  Jour 1       Jour 2       Jour 3       Jour 4       Jour 5       Jour 6       Jour 7
 1  0.002646701  0.002262040  0.005788569  0.001589235  0.002201420  0.011999985  0.003600171 
 2  0.004351721  0.002053960  0.006496656  0.000680108  0.002577018  0.010300331  0.004451758 
 3  0.004387002  0.001689183  0.005582601  0.000684595  0.002786066  0.007253748  0.003090135 
 4  0.003431772  0.001632610  0.005899780  0.001471074  0.001776990  0.004071144  0.002510503 
 5  0.003288800  0.001782005  0.005661786  0.000576992  0.002241716  0.003145300  0.004489326 
 6  0.003572985  0.001991404  0.005553127  0.000467013  0.001278303  0.003027227  0.004796650 
 7  0.002897364  0.001656190  0.003729506  0.000473700  0.001696838  0.002816332  0.005952657 
 8  0.002681542  0.001850280  0.001347018  0.001193224  0.002137632  0.001229385  0.004928185 
 9  0.002110005  0.002599630  0.001591874  0.001906325  0.001625836  0.002241188  0.003022740 
10  0.002411347  0.001471954  0.000432612  0.001886881  0.001215044  0.001429458  0.002687437 
11  0.001199119  0.001753059  0.001612286  0.001620381  0.001683728  0.001772415  0.006320162 
12  0.001553426  0.002025454  0.000290959  0.002273302  0.001507323  0.002355214  0.007617469 
13  0.001856703  0.001457524  0.001144833  0.002313070  0.002199132  0.000582799  0.005344520 
14  0.001663404  0.004029616  0.001771975  0.004117159  0.002671952  0.002523613  0.005325955 
15  0.001035734  0.001867525  0.001073303  0.002382400  0.004878914  0.003254311  0.004154903 
16  0.000876925  0.002017623  0.003561547  0.001749364  0.004228633  0.002892877  0.005109254 
17  0.005862211  0.017943052  0.008031077  0.015844308  0.016589875  0.010593578  0.025097907 
18  0.009697561  0.007093883  0.013976432  0.021633670  0.020036164  0.014156533  0.021594429 
19  0.023003299  0.008280508  0.017788906  0.028974785  0.024445690  0.016061362  0.012486090 
20  0.017099296  0.006657400  0.023921752  0.020735188  0.015437475  0.027340767  0.029497139 
21  0.018572217  0.015779817  0.012111371  0.032019608  0.018875758  0.038219146  0.036257215 
22  0.008116508  0.009845108  0.020465609  0.023307192  0.007564152  0.024072291  0.045957064 
23  0.012538792  0.019229274  0.027834967  0.009805956  0.012107412  0.020524909  0.027873151 
24  0.021598476  0.029155238  0.025667421  0.015335943  0.011874257  0.022939247  0.028373950 
25  0.037234529  0.025422300  0.020572684  0.028213117  0.013725505  0.025727337  0.039023397 
26  0.049727306  0.035400438  0.030528562  0.035868243  0.020479510  0.017193262  0.055624270 
27  0.048091088  0.024907512  0.018485114  0.038475880  0.027157674  0.027157674  0.049013589 
28  0.017316262  0.018534297  0.032418435  0.027255335  0.030137918  0.040465436  0.054217336 
29  0.020970983  0.024360259  0.029348096  0.033707912  0.025225922  0.057714039  0.074915308 
30  0.023636952  0.025895120  0.032201997  0.022482880  0.019392570  0.072245643  0.060583689 
31  0.022466340  0.037257317  0.020375250  0.049119168  0.023820572  0.067395587  0.061890323 
32  0.023645046  0.030324354  0.019443160  0.024815482  0.024991888  0.052170414  0.067831806 
33  0.031638466  0.051293401  0.013852376  0.021661912  0.026979509  0.060623985  0.085262094 
34  0.053984005  0.051645157  0.021607099  0.026968599  0.051880687  0.098618950  0.085088240 
35  0.066975909  0.050896862  0.031714748  0.070845044  0.059569950  0.115537794  0.082123569 
36  0.091456704  0.028255085  0.043525833  0.068389178  0.063873193  0.109420608  0.092055780 
37  0.073720412  0.028883811  0.055482530  0.045195220  0.078517591  0.103680517  0.074968713 
38  0.056221674  0.042153564  0.059613502  0.036691499  0.061815185  0.086501949  0.084434175 
39  0.051813468  0.052781192  0.052221972  0.043020635  0.057919743  0.086599962  0.090605294 
40  0.078413683  0.082782649  0.079570658  0.047982166  0.100674142  0.126407638  0.079683276 
41  0.072445276  0.086188730  0.081393839  0.039465423  0.110359385  0.136799120  0.096434600 
42  0.090428185  0.063821459  0.081914873  0.057708936  0.130127994  0.161161226  0.113949879 
43  0.084809158  0.099794754  0.125089743  0.104229706  0.152108316  0.137722060  0.116141532 
44  0.100082722  0.066272750  0.110418070  0.125976434  0.141197120  0.134587318  0.087094073 
45  0.069176537  0.068454989  0.118927510  0.079562915  0.099484262  0.101984999  0.122152522 
46  0.092438241  0.055512092  0.091886237  0.088556877  0.099798713  0.127200540  0.138663125 
47  0.087926743  0.077163886  0.079716533  0.072917832  0.080007229  0.145858013  0.123411557 
48  0.098643146  0.107006094  0.100264230  0.077168021  0.096240157  0.144022074  0.123478336 
49  0.093298010  0.133377729  0.096134666  0.079417040  0.097252840  0.127029501  0.133897532 
50  0.096786531  0.134503118  0.094869120  0.082703200  0.116975874  0.141168437  0.187909428 
51  0.087083515  0.101633068  0.115710152  0.098984343  0.130144183  0.108678033  0.231179055 
52  0.082496264  0.103562444  0.118500705  0.102520023  0.132133652  0.125373047  0.269220475 
53  0.083258900  0.135500580  0.119234218  0.092334949  0.097969373  0.125549277  0.252858476 
54  0.067752798  0.135118207  0.125653185  0.097391501  0.111035798  0.115125154  0.220227210 
55  0.077050828  0.138049004  0.118327555  0.108139665  0.103666088  0.175405038  0.211238704 
56  0.123602920  0.135963898  0.128951663  0.101066194  0.101635179  0.195335623  0.215758208 
