 Station 8 
QH  Jour 1       Jour 2       Jour 3       Jour 4       Jour 5       Jour 6       Jour 7
43  0.053952332  0.065602496  0.061393483  0.051964095  0.065987861  0.086957084  0.103347062 
44  0.047181873  0.070002784  0.063948506  0.052943344  0.080112368  0.096754857  0.103401172 
45  0.050128948  0.070483786  0.067772506  0.068199399  0.080662877  0.079824928  0.080962547 
46  0.057242891  0.070272187  0.058483450  0.060596095  0.076561907  0.094476629  0.083896512 
47  0.059258491  0.065537917  0.055784135  0.051914648  0.070617696  0.071775815  0.090606526 
48  0.054230357  0.066233949  0.059053755  0.054736787  0.065519088  0.085742304  0.099847719 
49  0.059956811  0.063586369  0.059604879  0.055987727  0.058277658  0.132652575  0.099032470 
50  0.069530316  0.064356395  0.061325737  0.066866546  0.067395851  0.155885773  0.117090779 
51  0.068260195  0.063181911  0.061357674  0.059857038  0.068955436  0.164892316  0.132016810 
52  0.053510218  0.051065173  0.060248738  0.050512025  0.068955788  0.170622993  0.134103500 
53  0.053575677  0.046831789  0.068320199  0.046280665  0.075870714  0.157100992  0.127408971 
54  0.061357498  0.051024701  0.074517537  0.051059367  0.077697150  0.143714398  0.120905629 
55  0.066472383  0.054517182  0.072606021  0.053542683  0.069220000  0.082309917  0.115724405 
56  0.069386024  0.059473345  0.066262544  0.054062398  0.064701288  0.081361637  0.075200108 
57  0.068687088  0.062362527  0.067400602  0.053551042  0.060063974  0.082082569  0.062823557 
58  0.063652972  0.053063089  0.070531473  0.055572272  0.072512407  0.081269519  0.069274725 
59  0.079732722  0.054072428  0.090881912  0.062608439  0.074384859  0.086057107  0.086269410 
60  0.070607314  0.036538761  0.068517633  0.057189134  0.054703881  0.065747580  0.089418845 
61  0.063124986  0.051129225  0.064048455  0.060718303  0.052774153  0.085736322  0.114389969 
62  0.062742349  0.055512444  0.060343672  0.063879176  0.051165650  0.104519082  0.118994465 
63  0.062994068  0.057194853  0.070091734  0.073068635  0.056046940  0.108772086  0.111601176 
64  0.074856359  0.058952574  0.073376663  0.072585785  0.067041808  0.108073854  0.137202345 
65  0.069820923  0.061280777  0.075025198  0.070979658  0.065721009  0.104191962  0.133594167 
66  0.071610495  0.062857254  0.072795360  0.073467461  0.075824259  0.078821571  0.110319617 
67  0.042885933  0.056535949  0.050982118  0.040116144  0.045031748  0.045800190  0.091184221 
68  0.068891120  0.067779281  0.062216211  0.058572664  0.062097346  0.056380483  0.093727542 
69  0.098991294  0.106298184  0.084895997  0.089329630  0.096368260  0.075287475  0.078281884 
70  0.106381592  0.108054410  0.102320126  0.108714018  0.096395975  0.055735305  0.093836553 
71  0.149704448  0.146875622  0.133672120  0.125550597  0.123835987  0.097965502  0.145701667 
72  0.194139672  0.214922547  0.149517044  0.152277243  0.143083297  0.110544325  0.206123028 
73  0.201611618  0.215548105  0.152657505  0.145164444  0.143470861  0.101049829  0.256534400 
74  0.223435330  0.213794255  0.151827123  0.138244590  0.139435702  0.104688977  0.237661897 
75  0.211849745  0.219160858  0.155679277  0.141935912  0.142322069  0.111171379  0.227203373 
76  0.205495094  0.218586330  0.151604702  0.144151145  0.132523856  0.127569628  0.205832156 
77  0.186544198  0.208657726  0.157557008  0.145225944  0.138378324  0.129083461  0.224686975 
78  0.185479517  0.197457506  0.141823734  0.140895162  0.124632671  0.107694912  0.234287754 
79  0.159226747  0.145893030  0.125326504  0.106628999  0.132061154  0.108277007  0.224531245 
80  0.146011367  0.127226583  0.120085980  0.064887283  0.162213589  0.088510686  0.165948023 
81  0.133620650  0.148016936  0.106896643  0.054733444  0.162352602  0.083887010  0.098944311 
82  0.116950359  0.128927644  0.102525214  0.036568851  0.145334690  0.069594807  0.089425356 
83  0.104569672  0.123371789  0.091798342  0.035911971  0.147113440  0.076813010  0.087023335 
84  0.102738925  0.091841365  0.092891265  0.045531754  0.126511370  0.091777842  0.084849278 
85  0.096725999  0.094440556  0.082897818  0.045740450  0.082632462  0.091492513  0.078317693 
86  0.112412818  0.076655961  0.050317847  0.034398137  0.054817995  0.105998866  0.059505899 
87  0.081320109  0.070999806  0.027748040  0.015248136  0.047343586  0.100849932  0.046238257 
88  0.029410124  0.040231314  0.019934280  0.015728523  0.032014593  0.061554052  0.032363005 
89  0.012779161  0.015576137  0.012466118  0.011040267  0.017781779  0.037070353  0.025372766 
90  0.017241124  0.010060490  0.008996689  0.005626505  0.013657494  0.020104263  0.014505825 
91  0.004847769  0.004159566  0.006946864  0.008978213  0.012450633  0.015377119  0.009633333 
92  0.004521528  0.003193426  0.005481773  0.006780400  0.015946720  0.015237138  0.007572598 
93  0.007013115  0.004338260  0.005110221  0.009937930  0.012991112  0.013503700  0.006326057 
94  0.009468805  0.003762236  0.006752334  0.007157319  0.007628467  0.014430863  0.006200681 
95  0.007555178  0.004722833  0.007782701  0.006451432  0.010459844  0.014453035  0.005265775 
96  0.007180459  0.003762236  0.003866759  0.004059970  0.008349663  0.010467059  0.003537176 
