 Station 8 
QH  Jour 1       Jour 2       Jour 3       Jour 4       Jour 5       Jour 6       Jour 7
 1  0.003719564  0.003057229  0.002617403  0.004477185  0.004402047  0.008908090  0.006918533 
 2  0.004183410  0.002471263  0.003762236  0.004170828  0.004703917  0.007997204  0.005535267 
 3  0.004486599  0.003853650  0.005128786  0.003864032  0.003723347  0.006093078  0.006760692 
 4  0.004385682  0.003991695  0.004575374  0.003025555  0.002943731  0.008966951  0.005837048 
 5  0.004170300  0.003991695  0.003014205  0.004008500  0.004367734  0.004555929  0.007317184 
 6  0.003243665  0.003148643  0.002616963  0.003922013  0.004367734  0.003880309  0.007557905 
 7  0.004646816  0.004293476  0.003158145  0.003761796  0.003991695  0.005090337  0.007394609 
 8  0.003910575  0.004293476  0.003468109  0.004406182  0.002708817  0.004998483  0.006820785 
 9  0.002048593  0.003779832  0.002241364  0.003968996  0.003558643  0.004714738  0.006052430 
10  0.003443122  0.003917877  0.003615128  0.003968996  0.004383571  0.003482098  0.006541087 
11  0.004185257  0.003917877  0.004622884  0.004138275  0.005608029  0.003390244  0.008878352 
12  0.003939961  0.005065086  0.003732849  0.005209378  0.004725208  0.004535077  0.005253282 
13  0.005149198  0.004489414  0.004188073  0.005083563  0.004002077  0.003407401  0.005728917 
14  0.004498037  0.004934168  0.003997942  0.004845481  0.005180696  0.004973584  0.004220187 
15  0.005325604  0.004292421  0.004215084  0.004104313  0.002820467  0.003824704  0.003108347 
16  0.004622884  0.005864059  0.003679884  0.003640467  0.004186665  0.003386197  0.004889472 
17  0.003570345  0.005011065  0.004598865  0.005936029  0.007542772  0.004799818  0.004593498 
18  0.008864627  0.004211388  0.007335220  0.010378636  0.004533670  0.005983979  0.004593498 
19  0.009675829  0.004609775  0.005042387  0.002751225  0.005116116  0.011711753  0.005738331 
20  0.012523571  0.005857284  0.005841535  0.005692052  0.011085490  0.010592171  0.008687341 
21  0.011463289  0.011432671  0.009905024  0.007991661  0.009507958  0.009156554  0.007769240 
22  0.012464094  0.009699496  0.021321418  0.010388666  0.015299254  0.007038718  0.006612617 
23  0.022039271  0.015998806  0.020661459  0.009558020  0.020887047  0.010454741  0.010817231 
24  0.017484397  0.002731252  0.017255026  0.010987917  0.013828973  0.015540327  0.017609333 
25  0.017457738  0.004534549  0.008507240  0.012319626  0.012801333  0.031449655  0.024279051 
26  0.013121238  0.007716010  0.004279047  0.015599276  0.012361154  0.032841456  0.033113587 
27  0.015411169  0.005778451  0.010077119  0.015060733  0.008819316  0.036224486  0.038977734 
28  0.013212653  0.013911852  0.010655254  0.020934646  0.009394988  0.017894221  0.050329989 
29  0.022207142  0.017815477  0.012703232  0.020660139  0.013984350  0.017509824  0.020541890 
30  0.026972998  0.018298943  0.007122742  0.017899500  0.008400341  0.022246998  0.029691493 
31  0.027793087  0.017890526  0.013439384  0.017395007  0.009256854  0.017990387  0.035897278 
32  0.015000641  0.022236528  0.015879765  0.021566715  0.012408225  0.011111797  0.036837023 
33  0.022053172  0.014950314  0.012860809  0.018776690  0.012904097  0.023435559  0.018895818 
34  0.017843719  0.015059413  0.013824925  0.013206230  0.012288392  0.024987137  0.020285860 
35  0.020814549  0.024826392  0.012519963  0.007278559  0.014729213  0.038041684  0.039864249 
36  0.019307578  0.032226368  0.018254071  0.020762815  0.013580597  0.036231173  0.046546285 
37  0.019677282  0.010566919  0.013564056  0.013135843  0.014252082  0.030239891  0.043922108 
38  0.021550614  0.013566608  0.015856802  0.021917414  0.018779593  0.040947495  0.047716809 
39  0.020433055  0.027517612  0.029286244  0.028487272  0.033992096  0.041152759  0.058393971 
40  0.039765269  0.040844027  0.046305124  0.046712573  0.046079008  0.058401978  0.071919843 
41  0.047696221  0.054039699  0.040764314  0.061497039  0.048622945  0.068605880  0.080364879 
42  0.054367523  0.046628989  0.045943866  0.049733025  0.051508607  0.090115405  0.079401906 
